ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
65,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,跟骨,,,1,,"41,7","17,44","16,49",,,,,,,,,,,,,,,
66,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,胫骨,远端,,1,,,,,,,,,,,,,,,,,,,
67,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,桡骨,近端,,1,,"16,88","11,35",,,,,,,,,,,,,,,,
68,2000,HD,T31,M54,,XG15,腰坑内,,狗,左,桡骨,远端,,1,,"21,88","12,67",,,,,,,,,,,,,,,,
177,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,左,肩胛骨,,,1,,"29,37","18,27",,,,,,,,,,,,,,,,
178,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,右,肩胛骨,,,1,,,,,,,,,,,,,,,,,,,
179,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,骶骨,,,1,,,,,,,,,,,,,,,,,,,
180,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,左,盆骨,,,1,,,,,,,,,,,,,,,,,,,
181,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,右,盆骨,,,1,,,,,,,,,,,,,,,,,,,
182,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,寰椎,碎块,,1,,,,,,,,,,,,,,,,,,,
183,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,一付,跟骨,,,1,,"44,88","18,85","16,48",,,,,,,,,,,,,,,
184,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,一付,距骨,,,1,,"26,14","17,6",,,,,,,,,,,,,,,,
185,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,脊椎,,,20,,,,,,,,,,,,,,,,,,,
186,2000,HD,T31,M54,021,XG11,二层台西北角,距地表6.53米,狗,,肋骨,,,9,,,,,,,,,,,,,,,,,,,
