分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
4,大司空,04C区M400,,,,腰坑/狗/整/1,二层台/狗/整/1,,,,,
4晚,大司空,04D区M412,,,,腰坑/狗/整/1,填土/狗/整/1,/兽/骨,/羊/腿,/狗/腿,,
3晚,大司空,04B区M419,,,,腰坑/狗/整/1,,,,,,
2早,大司空,04B区M420,,,,腰坑/狗/整/1,,,,,,
,大司空,04B区M421,,,,底部/狗/整/1,,,,,,
3早,大司空,04B区M423,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
2晚,大司空,04D区M435,,,,腰坑/狗/整/1,/兽/骨,,,,,
2晚,大司空,04A区M444,,,,椁台;4/狗/整/1,腰坑/狗/整/1,/兽/腿,,,,
3晚,大司空,04B区M446,,,,腰坑/狗/整/1,,,,,,
3晚,大司空,04B区M453,,,,/兽/牙,,,,,,
2晚,大司空,04B区M457,,,,填土/狗/整/1,,,,,,
,孝民屯,SM102,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM104,,,,填土/狗/整/1,,,,,,
,孝民屯,SM105,,,,填土/狗/整/1,,,,,,
,孝民屯,SM107,,,,填土/狗/整/1,,,,,,
,孝民屯,SM110,,,,腰坑/狗/整/1,,,,,,
,孝民屯,NM138,,,,腰坑/狗/整/1,,,,,,
,孝民屯,NM153,,,,填土/狗/整/1,,,,,,
,孝民屯,NM154,,,,填土/狗/整/1,,,,,,
,孝民屯,NM157,,,,腰坑/狗/整/1,,,,,,
,孝民屯,NM157,,,,填土/狗/整/1,,,,,,
,孝民屯,SM16,,,,腰坑/狗/整/1,,,,,,
,孝民屯,NM169,,,,龛/狗/整/1,,,,,,
,孝民屯,NM177,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,孝民屯,SM2,,,,填土/狗/整/2,,,,,,
,孝民屯,SM201,,,,填土/狗/整/3,,,,,,
,孝民屯,SM204,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM215,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM216,,,,填土/狗/整/1,,,,,,
,孝民屯,SM22,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM220,,,,填土/狗/整/1,,,,,,
,孝民屯,SM234,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM244,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM716,,,,腰坑/狗/整/2,,,,,,
,孝民屯,SM735,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,孝民屯,SM736,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,孝民屯,SM737,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM741,,,,填土/狗/整/1,,,,,,
,孝民屯,SM762,,,,填土/狗/整/1,,,,,,
,孝民屯,SM764,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM770,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM816,,,,填土/狗/整/1,,,,,,
,孝民屯,SM824,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM841,,,,填土/狗/整/1,,,,,,
,孝民屯,SM843,,,,填土/狗/整/1,,,,,,
,孝民屯,SM847,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM85,,,,棺椁/狗/整/1,,,,,,
,孝民屯,SM856,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM876,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM897,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM918,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM92,,,,填土/狗/整/1,,,,,,
,孝民屯,SM924,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM929,,,,填土/狗/整/1,,,,,,
,孝民屯,SM931,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM932,,,,填土/狗/整/1,,,,,,
,孝民屯,SM943,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM29,,,,填土/狗/整/1,腰坑/狗/整/1,,,,,
,孝民屯,SM354,,,,填土/狗/整/1,,,,,,
,孝民屯,SM356,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM358,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM368,,,,填土/狗/整/1,,,,,,
,孝民屯,SM371,,,,填土/狗/整/1,,,,,,
,孝民屯,SM375,,,,填土/狗/整/1,,,,,,
,孝民屯,SM389,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM408,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM409,,,,填土/狗/整/1,,,,,,
,孝民屯,SM41,,,,腰坑;2/狗/整/1,,,,,,
,孝民屯,SM42,,,,二层台/狗/整/1,,,,,,
,孝民屯,SM423,,,,填土/狗/整/1,,,,,,
,孝民屯,SM426,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM43,,,,填土/狗/整/1,,,,,,
,孝民屯,SM53,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM578,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM591,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM594,,,,腰坑/狗/整/1,填土/狗/整/1,,,,,
,孝民屯,SM595,,,,填土/狗/整/1,,,,,,
,孝民屯,SM60,,,,填土/狗/整/1,,,,,,
,孝民屯,SM623,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM63,,,,填土/狗/整/1,,,,,,
,孝民屯,SM646,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM647,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM671,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM674,,,,填土/狗/整/1,,,,,,
,孝民屯,SM675,,,,填土/狗/整/1,,,,,,
,孝民屯,SM687,,,,填土/狗/整/1,,,,,,
,孝民屯,SM693,,,,填土/狗/整/1,,,,,,
,孝民屯,SM702,,,,腰坑/狗/整/1,,,,,,
,孝民屯,SM711,,,,腰坑/狗/整/1,,,,,,
,大司空,58-61三区M303,,,,/兽/骨,,,,,,
,大司空,58-61三区M316,,,,/兽/骨,,,,,,
,大司空,58-61三区M321,,,,/羊/骨,/鱼/骨,,,,,
,大司空,58-61三区M322,,,,/兽/骨,,,,,,
,后冈,58-61M2,,,,/羊/骨,,,,,,
,大司空,58-61一区M104,,,,/羊/腿,,,,,,
,白家坟,58-61西B区M42,,,,/兽/骨块,,,,,,
,白家坟,58-61西B区M49,,,,/羊/腿,,,,,,
,白家坟,58-61西A区M23,,,,/兽/骨块,,,,,,
,白家坟,58-61西A区M64,,,,/兽/骨块,,,,,,
,白家坟,58-61西B区M14,,,,/羊/骨,,,,,,
,苗圃,58-61北地M48,,,,/鱼/骨/1,,,,,,
,苗圃,58-61北地M58,,,,/牛/角,,,,,,
,苗圃,58-61北地M205,,,,/鱼/骨,,,,,,
,苗圃,58-61北地M207,,,,/鱼/骨,,,,,,
,苗圃,58-61北地M246,,,,/鱼/骨,,,,,,
,苗圃,58-61北地M28,,,,/鱼/骨/2,,,,,,
,小屯,58-61西地4区M406,,,,/兽/前肢,,,,,,
,小屯,58-61西地2区M214,,,,/羊/头/2,/羊/腿/2,/牛/腿,,,,
,小屯,58-61西地2区M233,,,,/羊/头/6,/羊/腿/2,/牛/腿/3,/牛/头,,,
4早,郭家湾新村,2000M63,,,,腰坑/狗/整/1,二层台/牛/腿,,,,,
4晚,郭家湾新村,2000M65,,,,腰坑/狗/整/1,,,,,,
4早,郭家湾新村,2000M68,,,,腰坑/狗/整/1,,,,,,
4晚,郭家湾新村,2000M69,,青女,,腰坑/狗/整/1,,,,,,
4早,郭家湾新村,2000M70,,,,腰坑/鸡/整/1,腰坑/狗/整/1,填土/鸡/整/1,,,,
3,郭家湾新村,2000M72,,,,腰坑/狗/整/1,,,,,,
,郭家湾新村73,2000M73,,,,腰坑/狗/整/1,,,,,,
4早,郭家湾新村,2000M74,,,,二层台/羊/腿,,,,,,
2,郭家湾新村,2000M75,,,,腰坑/狗/整/1,,,,,,
2,郭家湾新村,2000M77,,,,腰坑/狗/整/1,,,,,,
,郭家湾新村,2000M111,,,,腰坑/狗/整/1,,,,,,
,郭家湾新村,2000M117,,,,腰坑/狗/整/1,,,,,,
4早,郭家湾新村,2000M248,,,,腰坑/狗/整/1,,,,,,
4早,郭家湾新村,2000M265,,,,腰坑/狗/整/1,,,,,,
3,郭家湾新村,2000M285,,,,腰坑/狗/整/1,,,,,,
3,郭家湾新村,2000M292,,,,腰坑/狗/整/1,,,,,,
2,郭家湾新村,2000M293,,,,腰坑/狗/整/1,/兽/骨,二层台/牛/腿/1,,,,
4早,郭家湾新村,2000M294,,,,腰坑/狗/整/1,二层台/狗//1,,,,,
2,郭家湾新村,2000M296,,,,二层台/狗//1,,,,,,
,郭家湾新村,2000M301,,,,二层台/狗/头/1,,,,,,
,郭家湾新村,2000M303,,,,二层台/狗/头/1,二层台/羊/肩胛骨/1,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
x,郭家湾新村,2000M,,,,腰坑/狗/整/1,,,,,,
4,榕树湾,2007RSWM1,,/头东/中小,,腰坑/狗/整/1/头西背北,/羊//1,/鸡,,,,
4晚,榕树湾,2007RSWM2,,/头北,,腰坑/狗/整/1/头南,,,,,,
3,博地苑,2007M17,鬲,/头北,,腰坑/狗/整/1/头南,,,,,,
,老六庄,2006M3,,,,二层台/狗/腿/1,,,,,,
4,老六庄,2006M4,,//军事,,/狗/骨,,,,,,
3晚4早,老六庄,2006M5,,/头东,,腰坑/狗/整/1,,,,,,
,刘家庄,09AYYJYM33,,/头南,,二层台/狗/整/4,腰坑/狗/整/1/头南,,,,,
,刘家庄,09AYYJYM20,,/头南,,填土/狗/整/2,腰坑/狗/整/1/头南,,,,,
,刘家庄,09AYYJYM29,,/头南,,二层台/鱼/骨,,,,,,
,侯家庄,1002,,,,/牛/腿/1,/羊/腿/1,/猪/腿/1,,,,
