分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
,郭家庄,82-92郭家庄M272,,,,腰坑/狗/整/1,,,,,,
2,郭家庄,82-92郭家庄M273,,,丁,腰坑/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M278,,,,腰坑/狗/整/1,,,,,,
,郭家庄,82-92郭家庄M280,,,,腰坑/狗/整/1,,,,,,
,刘家庄,95-96刘家庄M1,,男,,腰坑/狗/整/1,,,,,,
4,刘家庄,83-86刘家庄M1,,,,二层台/牛/腿,,,,,,
3,刘家庄,95-96刘家庄M3,,,丁,腰坑/狗/整,,,,,,
4,刘家庄,95-96刘家庄M6,,,丁,腰坑/狗/整,,,,,,
3,刘家庄,95-96刘家庄M12,,,,腰坑/狗/整,,,,,,
3,刘家庄,95-96刘家庄M14,,,丁,腰坑/狗/整,,,,,,
4,刘家庄,95-96刘家庄M16,,,,腰坑/狗/整,,,,,,
,刘家庄,95-96刘家庄M17,,,丁,腰坑/狗/整,,,,,,
,刘家庄,95-96刘家庄M26,,女,丁,腰坑/狗/整,,,,,,
3,刘家庄,95-96刘家庄M29,,,丁,腰坑/狗/整,,,,,,
4,刘家庄,95-96刘家庄M32,,,,腰坑/狗/整,,,,,,
,刘家庄,95-96刘家庄M33,,,,腰坑/狗/整,,,,,,
4,刘家庄,95-96刘家庄M34,,,丁,腰坑/狗/整,,,,,,
,郭家庄,82-92郭家庄M235,,,,腰坑/鸡/骨,,,,,,
3,刘家庄,83-86安阳刘家庄M13,,,丙,填土/狗/整,,,,,,
,刘家庄,83-86安阳刘家庄M17,,,,填土/狗/整,,,,,,
,梅园庄,87梅园庄南M27,,,丁,填土/狗/整,,,,,,
,梅园庄,87梅园庄南M48,,,丙,填土/狗/整,,,,,,
2,郭家庄,82-92郭家庄M22,,,丁,填土/狗/整,,,,,,
3,郭家庄,82-92郭家庄M32,,,丁,填土/狗/整/1,,,,,,
4晚,郭家庄,82-92郭家庄M202,,,丙,填土/狗/整/1,,,,,,
4早,郭家庄,82-92郭家庄M267,,,丁,填土/狗/整/1,,,,,,
3,郭家庄,82-92郭家庄M276,,,,填土/狗/整/1,,,,,,
